,NDC Description,NADAC_Per_Unit,Effective_Date,Pricing_Unit,OTC,Classification_for_Rate_Setting,rx_name,dosage
6140337,SYMLINPEN 120 PEN INJECTOR,188.51700,180101,ML,N,B,SYMLINPEN,120 PEN INJECTOR
6140317,SYMLINPEN 60 PEN INJECTOR,284.91748,180101,ML,N,B,SYMLINPEN,60 PEN INJECTOR
6150961,SYMPROIC 0.2 MG TABLET,10.08806,181017,EA,N,B,SYMPROIC,0.2 MG TABLET
6139660,"SYNJARDY 12.5-1,000 MG TABLET",7.47646,180418,EA,N,B,SYNJARDY,"12.5-1,000 MG TABLET"
6147297,SYNJARDY 12.5-500 MG TABLET,7.42181,180822,EA,N,B,SYNJARDY,12.5-500 MG TABLET
6131684,"SYNJARDY 5-1,000 MG TABLET",7.42976,181017,EA,N,B,SYNJARDY,"5-1,000 MG TABLET"
6148933,SYNJARDY 5-500 MG TABLET,7.50177,180718,EA,N,B,SYNJARDY,5-500 MG TABLET
6149270,"SYNJARDY XR 10-1,000 MG TABLET",14.90502,180523,EA,N,B,SYNJARDY XR,"10-1,000 MG TABLET"
6145419,"SYNJARDY XR 12.5-1,000 MG TAB",7.43436,180418,EA,N,B,SYNJARDY XR,"12.5-1,000 MG TAB"
6146023,"SYNJARDY XR 25-1,000 MG TABLET",14.87501,181017,EA,N,B,SYNJARDY XR,"25-1,000 MG TABLET"
6143000,"SYNJARDY XR 5-1,000 MG TABLET",7.41060,180523,EA,N,B,SYNJARDY XR,"5-1,000 MG TABLET"
6143489,SYNTHROID 100 MCG TABLET,1.13681,180117,EA,N,B,SYNTHROID,100 MCG TABLET
6141575,SYNTHROID 112 MCG TABLET,1.13336,180919,EA,N,B,SYNTHROID,112 MCG TABLET
6150510,SYNTHROID 125 MCG TABLET,1.13482,180919,EA,N,B,SYNTHROID,125 MCG TABLET
6133654,SYNTHROID 137 MCG TABLET,1.13351,180919,EA,N,B,SYNTHROID,137 MCG TABLET
6146100,SYNTHROID 150 MCG TABLET,1.13887,180117,EA,N,B,SYNTHROID,150 MCG TABLET
6131913,SYNTHROID 175 MCG TABLET,1.13409,180523,EA,N,B,SYNTHROID,175 MCG TABLET
6136904,SYNTHROID 200 MCG TABLET,1.13801,180117,EA,N,B,SYNTHROID,200 MCG TABLET
6148234,SYNTHROID 25 MCG TABLET,1.13917,180117,EA,N,B,SYNTHROID,25 MCG TABLET
6140222,SYNTHROID 300 MCG TABLET,1.15244,180418,EA,N,B,SYNTHROID,300 MCG TABLET
6146298,SYNTHROID 50 MCG TABLET,1.13722,180117,EA,N,B,SYNTHROID,50 MCG TABLET
6150735,SYNTHROID 75 MCG TABLET,1.13934,180117,EA,N,B,SYNTHROID,75 MCG TABLET
6137747,SYNTHROID 88 MCG TABLET,1.13847,180117,EA,N,B,SYNTHROID,88 MCG TABLET
6141126,SYSTANE 0.3% EYE GEL,0.79100,181017,GM,Y,B,SYSTANE,0.3% EYE GEL
6150488,SYSTANE 0.3-0.4% EYE DROP,0.32195,181017,EA,Y,B,SYSTANE,0.3-0.4% EYE DROP
6134408,SYSTANE 0.3-0.4% EYE DROPS,0.47023,180919,ML,Y,B,SYSTANE,0.3-0.4% EYE DROPS
6129728,SYSTANE BALANCE 0.6% EYE DROP,0.78175,181017,ML,Y,B,SYSTANE BALANCE,0.6% EYE DROP
6150088,SYSTANE COMPLETE 0.6% EYE DROP,0.92253,180822,ML,Y,B,SYSTANE COMPLETE,0.6% EYE DROP
6142295,SYSTANE GEL EYE DROPS,0.97433,180620,ML,Y,B,SYSTANE GEL EYE DROPS,
5821971,SYSTANE NIGHTTIME EYE OINT,2.31893,180523,GM,Y,B,SYSTANE NIGHTTIME EYE OINT,
6136189,SYSTANE NIGHTTIME EYE OINTMENT,2.31893,180523,GM,Y,B,SYSTANE NIGHTTIME EYE OINTMENT,
6148627,SYSTANE ULTRA 0.4-0.3% EYE DRP,0.90931,181017,ML,Y,B,SYSTANE ULTRA,0.4-0.3% EYE DRP
6144349,TAB TUSSIN 400 MG TABLET,0.07064,181017,EA,Y,G,TAB TUSSIN,400 MG TABLET
6036512,TAB TUSSIN DM 400-20 MG TABLET,0.08062,180919,EA,Y,G,TAB TUSSIN DM,400-20 MG TABLET
6144511,TACLONEX 0.005%-0.064% SUSPENSION,15.83231,180523,GM,N,B,TACLONEX,0.005%-0.064% SUSPENSION
6141633,TACLONEX OINTMENT,14.03593,180101,GM,N,B,TACLONEX OINTMENT,
6141849,TACROLIMUS 0.03% OINTMENT,3.66042,181017,GM,N,G,TACROLIMUS,0.03% OINTMENT
6149943,TACROLIMUS 0.1% OINTMENT,3.97499,181017,GM,N,G,TACROLIMUS,0.1% OINTMENT
6138398,TACROLIMUS 0.5 MG CAPSULE,0.16692,181017,EA,N,G,TACROLIMUS,0.5 MG CAPSULE
6150830,TACROLIMUS 1 MG CAPSULE,0.20452,181017,EA,N,G,TACROLIMUS,1 MG CAPSULE
6146273,TACROLIMUS 5 MG CAPSULE,1.98420,180822,EA,N,G,TACROLIMUS,5 MG CAPSULE
6131562,TACTINAL 325 MG TABLET,0.01695,181017,EA,Y,G,TACTINAL,325 MG TABLET
6146229,TACTINAL 500 MG CAPLET,0.02811,181017,EA,Y,G,TACTINAL,500 MG CAPLET
6142386,TACTINAL 500 MG TABLET,0.02811,181017,EA,Y,G,TACTINAL,500 MG TABLET
6147386,TAKE ACTION 1.5 MG TABLET,15.02286,181017,EA,Y,G,TAKE ACTION,1.5 MG TABLET
6149376,TAMIFLU 30 MG CAPSULE,13.41650,180418,EA,N,B,TAMIFLU,30 MG CAPSULE
2806981,TAMIFLU 30 MG GELCAP,10.26369,140701,EA,N,B,TAMIFLU,30 MG GELCAP
6128037,TAMIFLU 45 MG CAPSULE,13.41350,180418,EA,N,B,TAMIFLU,45 MG CAPSULE
2881306,TAMIFLU 45 MG GELCAP,10.27233,140701,EA,N,B,TAMIFLU,45 MG GELCAP
6139950,TAMIFLU 6 MG/ML SUSPENSION,2.41978,180523,ML,N,B,TAMIFLU,6 MG/ML SUSPENSION
6131274,TAMIFLU 75 MG CAPSULE,14.59375,180418,EA,N,B,TAMIFLU,75 MG CAPSULE
6150712,TAMOXIFEN 10 MG TABLET,0.30028,181017,EA,N,G,TAMOXIFEN,10 MG TABLET
6148752,TAMOXIFEN 20 MG TABLET,0.46349,181017,EA,N,G,TAMOXIFEN,20 MG TABLET
6150541,TAMSULOSIN HCL 0.4 MG CAPSULE,0.08506,181017,EA,N,G,TAMSULOSIN HCL,0.4 MG CAPSULE
3510274,TANDEM DUAL ACTION CAPSULE,0.35996,150923,EA,Y,B,TANDEM DUAL ACTION CAPSULE,
3061275,TANDEM PLUS CAPSULE,0.55699,131001,EA,N,B,TANDEM PLUS CAPSULE,
6147808,TANZEUM 30 MG PEN INJECT,125.31083,180418,EA,N,B,TANZEUM,30 MG PEN INJECT
6138122,TANZEUM 50 MG PEN INJECT,125.56891,180221,EA,N,B,TANZEUM,50 MG PEN INJECT
386192,TAPAZOLE 10 MG TABLET,0.14159,151118,EA,N,G,TAPAZOLE,10 MG TABLET
302010,TAPAZOLE 5 MG TABLET,0.10290,151118,EA,N,G,TAPAZOLE,5 MG TABLET
3019220,TARCEVA 100 MG TABLET,177.17196,131217,EA,N,B,TARCEVA,100 MG TABLET
3066785,TARCEVA 150 MG TABLET,201.84581,131217,EA,N,B,TARCEVA,150 MG TABLET
3006685,TARCEVA 25 MG TABLET,64.08618,131217,EA,N,B,TARCEVA,25 MG TABLET
3049038,TARGRETIN 75 MG CAPSULE,116.45217,140416,EA,N,B,TARGRETIN,75 MG CAPSULE
3027322,TARGRETIN 75 MG SOFTGEL,116.45217,140306,EA,N,B,TARGRETIN,75 MG SOFTGEL
6149636,TARINA FE 1-20 TABLET,0.26221,181017,EA,N,G,TARINA FE,1-20 TABLET
2988254,TARKA ER 2-180 MG TABLET,4.71172,151231,EA,N,B,TARKA ER,2-180 MG TABLET
3046720,TARKA ER 2-240 MG TABLET,4.71788,151231,EA,N,B,TARKA ER,2-240 MG TABLET
3054321,TARKA ER 4-240 MG TABLET,4.70658,151231,EA,N,B,TARKA ER,4-240 MG TABLET
6147912,TARON-C DHA CAPSULE,0.60354,181017,EA,N,G,TARON-C DHA CAPSULE,
2985387,TARON-CRYSTALS PACKET,0.51001,131218,EA,N,G,TARON-CRYSTALS PACKET,
3106951,TARON-PREX PRENATAL DHA CAP,1.03053,150520,EA,N,G,TARON-PREX PRENATAL DHA CAP,
3307915,TASIGNA 200 MG CAPSULE,94.14516,160601,EA,N,B,TASIGNA,200 MG CAPSULE
3056157,TASMAR 100 MG TABLET,105.98456,150424,EA,N,B,TASMAR,100 MG TABLET
6146946,TAYTULLA 1 MG-20 MCG CAPSULE,5.84130,180117,EA,N,B,TAYTULLA,1 MG-20 MCG CAPSULE
6149719,TAZAROTENE 0.1% CREAM,5.93998,181017,GM,N,G,TAZAROTENE,0.1% CREAM
3068067,TAZICEF 1 GRAM VIAL,3.75080,141119,EA,N,G,TAZICEF,1 GRAM VIAL
3022433,TAZICEF 2 GRAM VIAL,9.50800,130822,EA,N,G,TAZICEF,2 GRAM VIAL
6129144,TAZORAC 0.05% CREAM,11.89613,181017,GM,N,B,TAZORAC,0.05% CREAM
6148654,TAZORAC 0.05% GEL,11.84720,181017,GM,N,B,TAZORAC,0.05% GEL
6148141,TAZORAC 0.1% CREAM,12.64202,180101,GM,N,B,TAZORAC,0.1% CREAM
6144058,TAZORAC 0.1% GEL,12.60467,180101,GM,N,B,TAZORAC,0.1% GEL
6145592,TAZTIA XT 120 MG CAPSULE,0.26600,181017,EA,N,G,TAZTIA XT,120 MG CAPSULE
6134460,TAZTIA XT 180 MG CAPSULE,0.34877,181017,EA,N,G,TAZTIA XT,180 MG CAPSULE
6135990,TAZTIA XT 240 MG CAPSULE,0.43484,181017,EA,N,G,TAZTIA XT,240 MG CAPSULE
6151186,TAZTIA XT 300 MG CAPSULE,0.51264,181017,EA,N,G,TAZTIA XT,300 MG CAPSULE
6141361,TAZTIA XT 360 MG CAPSULE,0.57271,181017,EA,N,G,TAZTIA XT,360 MG CAPSULE
4605333,TEARS NATURALE FORTE DROPS,0.40600,170719,ML,Y,B,TEARS NATURALE FORTE DROPS,
5721302,TEARS NATURALE FREE DROPS,0.26172,180117,EA,Y,B,TEARS NATURALE FREE DROPS,
4590886,TEARS NATURALE-II EYE DROPS,0.62228,160720,ML,Y,B,TEARS NATURALE-II EYE DROPS,
4425511,TEARS PURE DROPS,0.16114,160817,ML,Y,G,TEARS PURE DROPS,
6142976,TEGRETOL 100 MG/5 ML SUSP,0.32561,180103,ML,N,B,TEGRETOL,100 MG/5 ML SUSP
6134362,TEGRETOL 200 MG TABLET,2.29651,181017,EA,N,B,TEGRETOL,200 MG TABLET
6148167,TEGRETOL XR 100 MG TABLET,1.22658,181017,EA,N,B,TEGRETOL XR,100 MG TABLET
6129684,TEGRETOL XR 200 MG TABLET,2.45664,181017,EA,N,B,TEGRETOL XR,200 MG TABLET
6141709,TEGRETOL XR 400 MG TABLET,4.90456,181017,EA,N,B,TEGRETOL XR,400 MG TABLET
2988064,TEKAMLO 150 MG-5 MG TABLET,4.24042,150106,EA,N,B,TEKAMLO,150 MG-5 MG TABLET
3048413,TEKAMLO 300 MG-10 MG TABLET,5.39410,150106,EA,N,B,TEKAMLO,300 MG-10 MG TABLET
3042861,TEKAMLO 300 MG-5 MG TABLET,5.33775,150106,EA,N,B,TEKAMLO,300 MG-5 MG TABLET
6148070,TEKTURNA 150 MG TABLET,5.72376,180117,EA,N,B,TEKTURNA,150 MG TABLET
6131634,TEKTURNA 300 MG TABLET,7.24153,180117,EA,N,B,TEKTURNA,300 MG TABLET
6147235,TEKTURNA HCT 150-12.5 MG TAB,5.74880,180822,EA,N,B,TEKTURNA HCT,150-12.5 MG TAB
6128774,TEKTURNA HCT 150-25 MG TABLET,5.78899,171219,EA,N,B,TEKTURNA HCT,150-25 MG TABLET
6133927,TEKTURNA HCT 300-12.5 MG TAB,7.26158,171219,EA,N,B,TEKTURNA HCT,300-12.5 MG TAB
6144798,TEKTURNA HCT 300-25 MG TABLET,7.27533,180919,EA,N,B,TEKTURNA HCT,300-25 MG TABLET
6150946,TELMISARTAN 20 MG TABLET,0.38079,181017,EA,N,G,TELMISARTAN,20 MG TABLET
6150589,TELMISARTAN 40 MG TABLET,0.36618,181017,EA,N,G,TELMISARTAN,40 MG TABLET
6149737,TELMISARTAN 80 MG TABLET,0.39379,181017,EA,N,G,TELMISARTAN,80 MG TABLET
3068345,TELMISARTAN-AMLODIPINE 80-10,3.72867,150318,EA,N,G,TELMISARTAN-AMLODIPINE,80-10
4596675,TELMISARTAN-AMLODIPINE 80-5 MG,3.79100,160720,EA,N,G,TELMISARTAN-AMLODIPINE,80-5 MG
6149049,TELMISARTAN-HYDROCHLOROTHIAZIDE 40-12.5 MG TB,1.61893,181017,EA,N,G,TELMISARTAN-HYDROCHLOROTHIAZIDE,40-12.5 MG TB
6141835,TELMISARTAN-HYDROCHLOROTHIAZIDE 80-12.5 MG TB,1.30063,181017,EA,N,G,TELMISARTAN-HYDROCHLOROTHIAZIDE,80-12.5 MG TB
6148651,TELMISARTAN-HYDROCHLOROTHIAZIDE 80-25 MG TAB,1.80742,181017,EA,N,G,TELMISARTAN-HYDROCHLOROTHIAZIDE,80-25 MG TAB
6148870,TEMAZEPAM 15 MG CAPSULE,0.06834,181017,EA,N,G,TEMAZEPAM,15 MG CAPSULE
6149927,TEMAZEPAM 22.5 MG CAPSULE,4.79011,180919,EA,N,G,TEMAZEPAM,22.5 MG CAPSULE
6147365,TEMAZEPAM 30 MG CAPSULE,0.07966,181017,EA,N,G,TEMAZEPAM,30 MG CAPSULE
6147329,TEMAZEPAM 7.5 MG CAPSULE,2.09159,181017,EA,N,G,TEMAZEPAM,7.5 MG CAPSULE
3044517,TEMODAR 100 MG CAPSULE,216.47138,130404,EA,N,B,TEMODAR,100 MG CAPSULE
3066788,TEMODAR 140 MG CAPSULE,306.98692,130404,EA,N,B,TEMODAR,140 MG CAPSULE
3476487,TEMODAR 180 MG CAPSULE,634.65955,160922,EA,N,B,TEMODAR,180 MG CAPSULE
6139614,TEMODAR 20 MG CAPSULE,89.91774,180404,EA,N,B,TEMODAR,20 MG CAPSULE
6133477,TEMODAR 250 MG CAPSULE,"1,091.67094",180404,EA,N,B,TEMODAR,250 MG CAPSULE
3472228,TEMODAR 5 MG CAPSULE,17.17080,160922,EA,N,B,TEMODAR,5 MG CAPSULE
4917483,TEMOZOLOMIDE 100 MG CAPSULE,81.06469,171115,EA,N,G,TEMOZOLOMIDE,100 MG CAPSULE
2358692,TEMOZOLOMIDE 140 MG CAPSULE,183.77000,150603,EA,N,G,TEMOZOLOMIDE,140 MG CAPSULE
3066333,TEMOZOLOMIDE 180 MG CAPSULE,313.40788,140409,EA,N,G,TEMOZOLOMIDE,180 MG CAPSULE
2995066,TEMOZOLOMIDE 20 MG CAPSULE,27.13706,150603,EA,N,G,TEMOZOLOMIDE,20 MG CAPSULE
3053548,TEMOZOLOMIDE 5 MG CAPSULE,7.05983,150603,EA,N,G,TEMOZOLOMIDE,5 MG CAPSULE
6151083,TENOFOVIR DISOPROXIL FUMARATE 300 MG TABLET,1.41506,181017,EA,N,G,TENOFOVIR DISOPROXIL FUMARATE,300 MG TABLET
1469346,TENORMIN 25 MG TABLET,4.86222,150603,EA,N,B,TENORMIN,25 MG TABLET
5028028,TENORMIN 50 MG TABLET,12.36784,161201,EA,N,B,TENORMIN,50 MG TABLET
2923090,TERAZOL 3 80 MG SUPPOSITORY,14.10800,130919,EA,N,B,TERAZOL,3 80 MG SUPPOSITORY
6150187,TERAZOSIN 1 MG CAPSULE,0.15515,181017,EA,N,G,TERAZOSIN,1 MG CAPSULE
6143162,TERAZOSIN 10 MG CAPSULE,0.16373,181017,EA,N,G,TERAZOSIN,10 MG CAPSULE
6150526,TERAZOSIN 2 MG CAPSULE,0.15666,181017,EA,N,G,TERAZOSIN,2 MG CAPSULE
6150653,TERAZOSIN 5 MG CAPSULE,0.15414,181017,EA,N,G,TERAZOSIN,5 MG CAPSULE
6149442,TERBINAFINE 1% CREAM,0.28607,181017,GM,Y,G,TERBINAFINE,1% CREAM
6144432,TERBINAFINE HCL 250 MG TABLET,0.15322,181017,EA,N,G,TERBINAFINE HCL,250 MG TABLET
5445042,TERBUTALINE SULFATE 2.5 MG TAB,3.61752,170419,EA,N,G,TERBUTALINE SULFATE,2.5 MG TAB
3107209,TERBUTALINE SULFATE 5 MG TAB,1.66681,150902,EA,N,G,TERBUTALINE SULFATE,5 MG TAB
6134436,TERCONAZOLE 0.4% CREAM,0.59393,181017,GM,N,G,TERCONAZOLE,0.4% CREAM
6129406,TERCONAZOLE 0.8% CREAM,1.26800,181017,GM,N,G,TERCONAZOLE,0.8% CREAM
6142112,TERCONAZOLE 80 MG SUPPOSITORY,24.14667,181017,EA,N,G,TERCONAZOLE,80 MG SUPPOSITORY
6149426,TESTIM 1% (50 MG) GEL,3.79701,181017,GM,N,B,TESTIM,1% (50 MG) GEL
6138110,"TESTOSTERON CYP 1,000 MG/10 ML",3.54089,181017,ML,N,G,TESTOSTERON CYP,"1,000 MG/10 ML"
6144114,"TESTOSTERON CYP 2,000 MG/10 ML",4.39474,181017,ML,N,G,TESTOSTERON CYP,"2,000 MG/10 ML"
6141258,"TESTOSTERON ENAN 1,000 MG/5 ML",13.63033,181017,ML,N,G,TESTOSTERON ENAN,"1,000 MG/5 ML"
6143734,TESTOSTERONE 10 MG GEL PUMP,5.46806,181017,GM,N,G,TESTOSTERONE,10 MG GEL PUMP
6144222,TESTOSTERONE 12.5 MG/1.25 GRAM,1.10913,181017,GM,N,G,TESTOSTERONE,12.5 MG/1.25 GRAM
6134805,TESTOSTERONE 25 MG/2.5 GM PKT,1.66336,181017,GM,N,G,TESTOSTERONE,25 MG/2.5 GM PKT
6142261,TESTOSTERONE 30 MG/1.5 ML PUMP,2.38222,181017,ML,N,G,TESTOSTERONE,30 MG/1.5 ML PUMP
6150361,TESTOSTERONE 50 MG/5 GRAM GEL,1.38827,181017,GM,N,G,TESTOSTERONE,50 MG/5 GRAM GEL
6148907,TESTOSTERONE 50 MG/5 GRAM PKT,1.15148,181017,GM,N,G,TESTOSTERONE,50 MG/5 GRAM PKT
6131512,TESTOSTERONE CYP 100 MG/ML,3.54089,181017,ML,N,G,TESTOSTERONE CYP,100 MG/ML
6147434,TESTOSTERONE CYP 200 MG/ML,15.74589,181017,ML,N,G,TESTOSTERONE CYP,200 MG/ML
6139325,TESTOSTERONE ENAN 200 MG/ML,13.63033,181017,ML,N,G,TESTOSTERONE ENAN,200 MG/ML
6134699,TETRACAINE 0.5% EYE DROP,0.53533,180822,ML,N,G,TETRACAINE,0.5% EYE DROP
5813135,TETRACAINE 0.5% EYE DROPS,0.55586,170920,ML,N,G,TETRACAINE,0.5% EYE DROPS
6133949,TETRACYCLINE 250 MG CAPSULE,3.44178,180822,EA,N,G,TETRACYCLINE,250 MG CAPSULE
6147509,TETRACYCLINE 500 MG CAPSULE,3.46912,181017,EA,N,G,TETRACYCLINE,500 MG CAPSULE
1206637,TETRAHYDROZOLINE 0.05% EYE DRP,0.08161,141119,ML,Y,G,TETRAHYDROZOLINE,0.05% EYE DRP
3060850,TEVETEN HCT 600-12.5 MG TAB,4.53276,140701,EA,N,B,TEVETEN HCT,600-12.5 MG TAB
6140402,THEO-24 ER 100 MG CAPSULE,1.91507,181017,EA,N,B-ANDA,THEO-24 ER,100 MG CAPSULE
6147421,THEO-24 ER 200 MG CAPSULE,2.85901,181017,EA,N,B-ANDA,THEO-24 ER,200 MG CAPSULE
6147737,THEO-24 ER 300 MG CAPSULE,3.49320,180105,EA,N,B-ANDA,THEO-24 ER,300 MG CAPSULE
6135743,THEO-24 ER 400 MG CAPSULE,4.94711,180105,EA,N,B-ANDA,THEO-24 ER,400 MG CAPSULE
4483192,THEOPHYLLINE 80 MG/15 ML SOLN,0.13094,160622,ML,N,G,THEOPHYLLINE,80 MG/15 ML SOLN
4371830,THEOPHYLLINE ER 100 MG TABLET,0.30022,160518,EA,N,G,THEOPHYLLINE ER,100 MG TABLET
4800069,THEOPHYLLINE ER 200 MG TABLET,0.45968,160921,EA,N,G,THEOPHYLLINE ER,200 MG TABLET
6150622,THEOPHYLLINE ER 300 MG TAB,3.05391,181017,EA,N,G,THEOPHYLLINE ER,300 MG TAB
6147918,THEOPHYLLINE ER 400 MG TABLET,0.70035,181017,EA,N,G,THEOPHYLLINE ER,400 MG TABLET
3189834,THEOPHYLLINE ER 450 MG TAB,0.60902,160330,EA,N,G,THEOPHYLLINE ER,450 MG TAB
6138271,THEOPHYLLINE ER 600 MG TABLET,1.35170,180822,EA,N,G,THEOPHYLLINE ER,600 MG TABLET
3019591,THERA CAPLET,0.02428,130718,EA,Y,G,THERA CAPLET,
6138199,THERA-GEL 0.5% SHAMPOO,0.01283,180822,ML,Y,G,THERA-GEL,0.5% SHAMPOO
6131947,THERA-GESIC CREME,0.02837,180523,GM,Y,B,THERA-GESIC CREME,
3000876,THERA-GESIC PLUS CREME,0.04958,140423,GM,Y,B,THERA-GESIC PLUS CREME,
3061134,THERA-M CAPLET,0.02672,130523,EA,Y,G,THERA-M CAPLET,
6145970,THERAFLU EXPRESSMAX COLD NT LQ,0.02052,181017,ML,Y,B,THERAFLU EXPRESSMAX COLD NT LQ,
6136022,THERAFLU EXPRESSMAX COLD-COUGH,0.02117,180620,ML,Y,B,THERAFLU EXPRESSMAX COLD-COUGH,
6138895,THERAFLU EXPRESSMAX DAY CAPLET,0.26124,180321,EA,Y,B,THERAFLU EXPRESSMAX DAY CAPLET,
6131506,THERAFLU EXPRESSMAX NIGHT CPLT,0.25830,180620,EA,Y,B,THERAFLU EXPRESSMAX NIGHT CPLT,
6133299,THERAFLU FLU & SORE THROAT,0.85472,180620,EA,Y,B,THERAFLU FLU & SORE THROAT,
3023712,THERAFLU MAX-D COLD-FLU PACKET,0.66600,130523,EA,Y,B,THERAFLU MAX-D COLD-FLU PACKET,
6150143,THERAFLU MS SEVERE COLD PCKT,0.87834,180919,EA,Y,B,THERAFLU MS SEVERE COLD PCKT,
6138326,THERAFLU NT SEVERE CLD-CGH PKT,0.87060,180418,EA,Y,B,THERAFLU NT SEVERE CLD-CGH PKT,
3141601,THERAFLU SEVERE COLD & COUGH,0.83067,151223,EA,Y,B,THERAFLU SEVERE COLD & COUGH,
6144985,THERAPEUTIC MINERAL ICE GEL,0.02830,181017,GM,Y,G,THERAPEUTIC MINERAL ICE GEL,
3117240,THIAMINE 200 MG/2 ML VIAL,3.97576,150617,ML,N,G,THIAMINE,200 MG/2 ML VIAL
3036084,THIOLA 100 MG TABLET,1.22830,130501,EA,N,B,THIOLA,100 MG TABLET
6145428,THIORIDAZINE 10 MG TABLET,0.41819,180822,EA,N,G,THIORIDAZINE,10 MG TABLET
6139734,THIORIDAZINE 100 MG TABLET,0.87013,180117,EA,N,G,THIORIDAZINE,100 MG TABLET
6141105,THIORIDAZINE 25 MG TABLET,0.57613,180117,EA,N,G,THIORIDAZINE,25 MG TABLET
6149711,THIORIDAZINE 50 MG TABLET,0.81570,181017,EA,N,G,THIORIDAZINE,50 MG TABLET
6129872,THIOTHIXENE 1 MG CAPSULE,0.74934,180523,EA,N,G,THIOTHIXENE,1 MG CAPSULE
6141300,THIOTHIXENE 10 MG CAPSULE,2.41182,180117,EA,N,G,THIOTHIXENE,10 MG CAPSULE
6149362,THIOTHIXENE 2 MG CAPSULE,0.95397,181017,EA,N,G,THIOTHIXENE,2 MG CAPSULE
6133529,THIOTHIXENE 5 MG CAPSULE,1.69296,180822,EA,N,G,THIOTHIXENE,5 MG CAPSULE
2724947,THRIVE NICOTINE 2 MG GUM,0.21874,141119,EA,Y,G,THRIVE NICOTINE,2 MG GUM
1827770,THRIVE NICOTINE 4 MG GUM,0.24379,141119,EA,Y,G,THRIVE NICOTINE,4 MG GUM
5635674,THRIVITE 19 TABLET,0.41914,180321,EA,N,G,THRIVITE,19 TABLET
6131734,THRIVITE RX TABLET,0.25309,180221,EA,N,G,THRIVITE RX,TABLET
2229959,THROAT 1.4% SPRAY,0.01241,131218,ML,Y,G,THROAT,1.4% SPRAY
3054522,THROAT SPRAY,0.01193,140423,ML,Y,G,THROAT SPRAY,
6145090,THYROID 120 MG TABLET,0.84388,180718,EA,N,G,THYROID,120 MG TABLET
6137813,THYROID 15 MG TABLET,0.35135,180718,EA,N,G,THYROID,15 MG TABLET
6131841,THYROID 30 MG TABLET,0.39425,180718,EA,N,G,THYROID,30 MG TABLET
6139247,THYROID 60 MG TABLET,0.38004,180919,EA,N,G,THYROID,60 MG TABLET
6126713,THYROID 90 MG TABLET,0.70422,180718,EA,N,G,THYROID,90 MG TABLET
6142296,TIAGABINE HCL 2 MG TABLET,5.04985,181017,EA,N,G,TIAGABINE HCL,2 MG TABLET
6148136,TIAGABINE HCL 4 MG TABLET,4.80790,181017,EA,N,G,TIAGABINE HCL,4 MG TABLET
3068447,TIAZAC ER 180 MG CAPSULE,1.50600,141210,EA,N,B,TIAZAC ER,180 MG CAPSULE
3019910,TIAZAC ER 240 MG CAPSULE,2.09953,130418,EA,N,B,TIAZAC ER,240 MG CAPSULE
3028608,TIAZAC ER 360 MG CAPSULE,2.76280,141112,EA,N,B,TIAZAC ER,360 MG CAPSULE
3069657,TICLOPIDINE 250 MG TABLET,1.37283,141217,EA,N,G,TICLOPIDINE,250 MG TABLET
6137608,TIKOSYN 125 MCG CAPSULE,9.85976,180101,EA,N,B,TIKOSYN,125 MCG CAPSULE
6149350,TIKOSYN 250 MCG CAPSULE,10.05682,180815,EA,N,B,TIKOSYN,250 MCG CAPSULE
6137751,TIKOSYN 500 MCG CAPSULE,9.94197,180620,EA,N,B,TIKOSYN,500 MCG CAPSULE
6130438,TILIA FE 28 TABLET,1.17355,181017,EA,N,G,TILIA FE,28 TABLET
5028064,TIMOLOL 0.25% EYE DROPS,0.45352,171122,ML,N,G,TIMOLOL,0.25% EYE DROPS
6142746,TIMOLOL 0.25% GEL-SOLUTION,25.63000,181017,ML,N,G,TIMOLOL,0.25% GEL-SOLUTION
6129685,TIMOLOL 0.25% GFS GEL-SOLUTION,25.63000,181017,ML,N,G,TIMOLOL,0.25% GFS GEL-SOLUTION
6147470,TIMOLOL 0.5% EYE DROP,40.02360,181017,ML,N,G,TIMOLOL,0.5% EYE DROP
5025498,TIMOLOL 0.5% EYE DROPS,0.48483,171122,ML,N,G,TIMOLOL,0.5% EYE DROPS
6132190,TIMOLOL 0.5% GEL-SOLUTION,22.01773,181017,ML,N,G,TIMOLOL,0.5% GEL-SOLUTION
6143255,TIMOLOL 0.5% GFS GEL-SOLUTION,22.01773,181017,ML,N,G,TIMOLOL,0.5% GFS GEL-SOLUTION
6144125,TIMOLOL MALEATE 0.25% EYE DROP,0.43929,181017,ML,N,G,TIMOLOL MALEATE,0.25% EYE DROP
6151088,TIMOLOL MALEATE 0.5% EYE DROPS,0.44015,181017,ML,N,G,TIMOLOL MALEATE,0.5% EYE DROPS
5015474,TIMOLOL MALEATE 10 MG TABLET,1.40523,161123,EA,N,G,TIMOLOL MALEATE,10 MG TABLET
4797669,TIMOLOL MALEATE 5 MG TABLET,1.08618,160921,EA,N,G,TIMOLOL MALEATE,5 MG TABLET
3059452,TIMOPTIC 0.5% EYE DROPS,18.56144,150102,ML,N,B,TIMOPTIC,0.5% EYE DROPS
6143560,TIMOPTIC 0.5% OCUDOSE DROP,7.20907,180105,EA,N,B,TIMOPTIC,0.5% OCUDOSE DROP
